Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
01c716a3-cfc2-f5eb-e742-dea7ea8fd8e1,1958-11-16,,999-38-4841,S99998170,X96561959X,Ms.,Avis183,Josette398,Sawayn19,,,S,white,nonhispanic,F,Boston  Massachusetts  US,632 Heathcote Overpass Unit 77,Norton Center,Massachusetts,Bristol County,,00000,41.9998705558285,-71.18097894512049,290570.42,532360.79,769026
19b7b629-3c06-6f7a-4c44-9c60e6148d31,1998-12-13,,999-57-4145,S99924756,X55228726X,Ms.,Davida245,Tyesha844,Abshire638,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,702 Nikolaus Fork,Norwell,Massachusetts,Plymouth County,,00000,42.17344039885153,-70.86347896551943,41340.66,608633.30,63185
8ac5c0e0-4eea-8fd5-6e70-6116926cb142,1953-02-08,,999-91-7765,S99958437,X66277721X,Mrs.,Lorean637,Cyndy549,Predovic534,,Rowe323,W,white,nonhispanic,F,Lynn  Massachusetts  US,228 Kohler Annex Apt 72,Lynn,Massachusetts,Essex County,25009,01940,42.51564195941996,-71.00797385665761,533693.57,559102.72,56449
3b745ee9-16dc-2c84-5b6b-e08d40d4db0e,2009-08-10,,999-33-4151,S99937785,,,Tanna708,Kate239,Purdy2,,,,black,nonhispanic,F,Hamilton  Massachusetts  US,786 Breitenberg Center Suite 82,Boston,Massachusetts,Suffolk County,25025,02152,42.34687541770926,-71.07962399589643,62954.14,5975.06,98739
d0a8ca41-d452-cc61-1a07-473a92abed12,2018-01-29,,999-18-3132,,,,Ignacio928,,Harber290,,,,white,nonhispanic,M,Boston  Massachusetts  US,728 Crona Tunnel Suite 99,Worcester,Massachusetts,Worcester County,25027,01608,42.31499188947399,-71.75474560182981,1505.23,14181.45,4275
fe91f3fc-d75e-cdd1-aa77-ae0dfa75d9a5,1957-07-08,1991-09-06,999-75-8234,S99913396,X83715659X,Mr.,Ted955,Mauro926,Funk324,,,S,black,nonhispanic,M,Haverhill  Massachusetts  US,314 Tremblay Avenue Apt 69,Boston,Massachusetts,Suffolk County,25025,02118,42.39511944520209,-71.074988643562,42573.25,63949.56,958470
d1b0340c-3da7-bc30-08c5-32b32d4d6112,1981-12-16,,999-76-9441,S99980605,X83025169X,Mrs.,Carmon128,Erinn548,Kertzmann286,,Bailey598,M,white,nonhispanic,F,Arlington  Massachusetts  US,739 O'Keefe View Unit 2,Brookline,Massachusetts,Norfolk County,25017,02467,42.3614325022417,-71.10405484453902,10784.59,192881.75,19567
485095ee-a1f6-3cf9-3e6a-344b3208dffe,2009-08-30,,999-72-3974,S99987131,,,Alphonso102,Darrin898,Leffler128,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,406 Gibson Trafficway Apt 76,Winchendon,Massachusetts,Worcester County,25027,01475,42.627931354981705,-72.01338388326057,463171.70,370249.75,60977
1507f341-65e5-a2e2-abb7-29d3ec1925a5,1992-07-19,2013-02-26,999-99-9693,S99993864,X76719153X,Mr.,Damien170,Keenan632,Anderson154,,,,black,nonhispanic,M,Holland  Massachusetts  US,709 Rice Street,Southwick,Massachusetts,Hampden County,,00000,42.01922177761678,-72.8059379361358,30752.66,73474.32,23942
9e1b810e-552e-a0ca-cba6-b820584b2002,1962-07-19,,999-89-5577,S99914969,X73973348X,Mrs.,Rikki26,Mitzie610,Kling921,,Spinka232,M,white,nonhispanic,F,Somerville  Massachusetts  US,769 Wolff Club Suite 99,Shelburne,Massachusetts,Franklin County,,00000,42.622974488422265,-72.69344629791355,251809.59,1147650.36,24035
8dd988f6-7425-ab84-52ca-3a82a646ccb0,1971-06-01,,999-54-5576,S99937205,X65178828X,Mr.,Rupert654,,Wolff180,,,W,asian,nonhispanic,M,Shrewsbury  Massachusetts  US,480 Hane Camp,Newton,Massachusetts,Middlesex County,25017,02465,42.3250479520867,-71.14659949483217,9652.20,186919.07,5277
0ae684b3-c628-6aca-bb23-9c059e514651,2014-08-08,,999-25-6328,,,,Cameron381,Doug189,Halvorson124,,,,white,nonhispanic,M,Brockton  Massachusetts  US,306 Lehner Gate,Littleton,Massachusetts,Middlesex County,,00000,42.533388361451195,-71.52959164244119,16724.41,8152.62,32110
4e04beea-3c53-fa23-a9e6-685a8e7c7886,1997-06-02,,999-41-4556,S99971912,X92366427X,Mrs.,Corina534,Epifania219,Harvey63,,Nikolaus26,M,white,nonhispanic,F,Fall River  Massachusetts  US,949 Anderson Club,Littleton,Massachusetts,Middlesex County,,00000,42.56520495276078,-71.45522470385521,150034.22,278654.48,139461
a44429d7-c492-652a-3f79-a683f235a64b,1972-05-26,,999-16-1644,S99967651,X28236367X,Mr.,Herb645,,Bartoletti50,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,1099 Satterfield Run,Foxborough,Massachusetts,Norfolk County,25021,02035,42.084960754536006,-71.21265214405804,117745.39,77497.31,182727
15402a22-6d89-829c-a292-95e6a04a0f06,1991-11-23,,999-77-9091,S99990837,X47533508X,Mrs.,Dee580,Carrie738,Bergstrom287,,Homenick806,M,white,hispanic,F,Attleboro  Massachusetts  US,1059 Collins Bridge,Worcester,Massachusetts,Worcester County,25027,01610,42.23963794232028,-71.80748937799784,9922.01,319962.89,21525
9fc67a36-d913-34c2-5352-709ddec44b50,1966-09-21,,999-63-3413,S99951645,X39870952X,Ms.,Antonina346,Oralee226,Streich926,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,834 Hilpert Frontage road,Holliston,Massachusetts,Middlesex County,,00000,42.15077560070907,-71.42371587696195,786910.74,250297.26,38696
3ea769a0-5e50-c8ea-9698-217262b1c93d,2025-01-29,,999-89-4205,,,,José María211,Jaime666,Villalobos491,,,,white,hispanic,M,Roseau  Saint George  DM,266 Schmitt Lane Apt 72,Gloucester,Massachusetts,Essex County,25009,01930,42.63173466249136,-70.65191682751559,200.00,4791.24,22906
b10e9343-5de1-b00a-bea8-743a9b5ee42c,1989-12-30,,999-72-2340,S99982053,X04437072X,Mrs.,Reva678,Emilie407,Ondricka197,,Frami345,M,white,nonhispanic,F,Lakeville  Massachusetts  US,281 Bergnaum Center Suite 68,Sutton,Massachusetts,Worcester County,,00000,42.10229706023199,-71.7110573756123,172752.08,740392.62,129526
c5d89570-63de-cf63-db7f-5669d88d8ce8,1980-11-08,,999-43-8582,S99950360,X22942456X,Mrs.,Eunice461,So684,Grimes165,,Nienow652,M,white,nonhispanic,F,New Bedford  Massachusetts  US,165 Olson Rapid,Littleton,Massachusetts,Middlesex County,,00000,42.583173452347516,-71.46163588303246,221595.34,527991.73,132363
3473e790-362b-0013-e1b3-d8275e917efc,1994-10-09,,999-40-6103,S99986725,X77808373X,Mr.,Alberto639,Roman389,Gusikowski974,,,M,white,nonhispanic,M,Cohasset  Massachusetts  US,486 Bogisich Course,Somerville,Massachusetts,Middlesex County,25017,02138,42.417787856870724,-71.13259090819292,36799.96,61359.50,25104
9f6baf95-5561-08f7-da08-264ce3f3739a,2007-02-12,,999-22-3648,S99945946,,Ms.,Yolanda648,Marylin690,Ward668,,,,white,nonhispanic,F,Medford  Massachusetts  US,884 Herman Path Suite 8,Shutesbury,Massachusetts,Franklin County,,00000,42.48840353155076,-72.45298483140132,213863.09,64332.89,83088
73e5be85-85e9-ce8b-713a-ba9a0190696a,1976-10-25,,999-16-5189,S99966876,X48637975X,Mrs.,Roseanna881,Piper612,Hodkiewicz467,,Von197,M,white,nonhispanic,F,Malden  Massachusetts  US,499 Strosin Rapid,Everett,Massachusetts,Middlesex County,25017,02149,42.39169968816457,-71.08533456988107,83552.62,480874.67,24205
b2d9173e-b1cf-b45e-9165-e6e7ad45a596,1943-08-12,,999-39-8679,S99944822,X03842908X,Mrs.,Sallie654,Su690,Harris789,,Kling921,D,white,nonhispanic,F,Quincy  Massachusetts  US,943 Grimes Flat,Boston,Massachusetts,Suffolk County,25017,02467,42.397307133889676,-71.08557640338745,21348.87,1318564.68,17955
2a713fde-183b-98e2-178f-46295866a73e,1984-11-06,,999-77-7832,S99981383,X77710236X,Mr.,Lamont867,Ed239,O'Connell601,,,M,black,nonhispanic,M,Edgartown  Massachusetts  US,1011 Howe Byway Unit 4,Holden,Massachusetts,Worcester County,,00000,42.31462381683692,-71.84774779037551,21307.82,114005.74,114173
3901eac2-b8fd-3ff2-3ecf-2a78274ef6e6,2012-06-17,,999-64-3991,,,,Nery414,Violette536,Daniel959,,,,black,hispanic,F,Boston  Massachusetts  US,339 Gutkowski Trail,Boston,Massachusetts,Suffolk County,25025,02199,42.30394979021714,-71.1143017499829,43364.92,0.00,98931
484b93b6-9a4b-cc24-d53a-ee9f3d34b835,2024-02-22,,999-49-7445,,,,Casey401,Denver542,Douglas31,,,,white,nonhispanic,M,Rehoboth  Massachusetts  US,432 Thiel Village,Ashby,Massachusetts,Middlesex County,,00000,42.674443328189305,-71.88190547542453,6547.28,0.00,63424
2bb39ecf-cd1a-fc10-a5d0-62fcf68274db,1956-02-05,,999-83-2829,S99964026,X99100902X,Mr.,Pat3,Marion502,Kuvalis369,,,D,white,nonhispanic,M,Peabody  Massachusetts  US,855 Hilpert View Suite 8,Chelmsford,Massachusetts,Middlesex County,,00000,42.607431787237395,-71.34891600195793,155116.47,199056.57,34719
de4c06a0-1ed2-50cb-5b35-fc590f908e9a,2001-10-03,,999-21-9094,S99923693,X73697452X,Mr.,Hosea56,Robt687,Nolan344,,,,white,nonhispanic,M,Franklin  Massachusetts  US,704 Larson Tunnel Apt 59,Boston,Massachusetts,Suffolk County,25025,02125,42.38349644314798,-71.10861689371431,80146.35,71282.84,41622
c1410262-be39-4043-5334-ed79f66513dc,1984-05-29,,999-55-7835,S99963349,X18599978X,Mrs.,Lorilee250,Aurora248,Kuvalis369,,Schimmel440,M,white,nonhispanic,F,Quincy  Massachusetts  US,582 Nienow Track Apt 34,Malden,Massachusetts,Middlesex County,25017,02148,42.46728228522356,-71.01582637467655,510352.62,114870.50,68683
ccd107ab-78cc-0c3d-fb02-cc99576cd610,1953-03-19,1988-02-19,999-76-5021,S99910034,X44882377X,Mr.,Bertram873,Everett935,Willms744,,,S,white,nonhispanic,M,Milford  Massachusetts  US,288 McClure Rue Suite 89,Gloucester,Massachusetts,Essex County,25009,01930,42.63705269860308,-70.68669910509087,120661.72,0.00,87086
01b6daa3-f676-2b02-116b-9c04750c4eb6,1946-02-21,2010-06-03,999-74-6290,S99932185,X83184778X,Mr.,Zack583,Anderson154,Crooks415,,,M,white,nonhispanic,M,Marshfield  Massachusetts  US,540 Sanford Esplanade,Hopedale,Massachusetts,Worcester County,25027,01747,42.098451691487696,-71.57510819619844,238819.17,129047.34,48966
bb84c0cb-6f8d-5a0f-eab7-e68938cd8c17,1978-07-16,,999-94-9905,S99980623,X52176508X,Mr.,Terry864,Efren426,Becker968,,,D,white,nonhispanic,M,Granby  Massachusetts  US,628 Koelpin Green,Fall River,Massachusetts,Bristol County,25005,02747,41.72985132320705,-71.14325886140291,498354.34,319541.11,71382
32688147-39a0-f3c8-3030-ab8b79787521,1993-12-18,,999-76-1222,S99934260,X73674527X,Mrs.,María del Carmen27,Estela596,Meraz691,,Alaniz897,M,white,hispanic,F,Juarez  Chihuahua  MX,477 Homenick Arcade,Lynn,Massachusetts,Essex County,25009,01906,42.515826924256494,-70.97274996672952,281307.09,887898.30,128431
404b1f25-f17b-c742-a545-88923898fb0e,1955-02-11,2022-12-16,999-67-2871,S99966597,X07906553X,Mr.,Francisco472,Elliot577,Bogisich202,,,M,white,nonhispanic,M,Hamburg  Hamburg  DE,776 Stoltenberg Parade Unit 68,Somerville,Massachusetts,Middlesex County,25017,02144,42.47323669070664,-71.13230180656382,207652.87,486364.40,133545
